Index,TimeStamp,ECG Value
1072,1:36:203,96
1073,1:36:207,107
1074,1:36:210,131
1075,1:36:215,95
1076,1:36:218,97
1077,1:36:222,134
1078,1:41:826,373
1079,1:41:828,115
1080,1:41:830,117
1081,1:41:833,75
1082,1:41:837,83
1083,1:41:840,85
1084,1:41:844,59
1085,1:41:848,350
1086,1:41:852,85
1087,1:41:855,185
1088,1:41:859,79
1089,1:41:863,149
1090,1:41:866,56
1091,1:41:870,172
1092,1:41:873,310
1093,1:41:877,67
1094,1:41:880,73
1095,1:41:884,53
1096,1:41:889,170
1097,1:41:892,85
1098,1:41:896,50
1099,1:41:899,324
1100,1:41:903,91
1101,1:41:906,55
1102,1:41:910,60
1103,1:41:914,100
1104,1:41:917,83
1105,1:41:921,113
1106,1:41:924,333
1107,1:41:928,76
1108,1:41:932,106
1109,1:41:936,118
1110,1:41:940,189
1111,1:41:943,101
1112,1:41:947,116
1113,1:41:950,346
1114,1:41:954,213
1115,1:41:957,117
1116,1:41:961,87
1117,1:41:965,118
1118,1:41:968,187
1119,1:41:972,83
1120,1:41:976,380
1121,1:41:980,137
1122,1:41:983,80
1123,1:41:987,113
1124,1:41:991,104
1125,1:41:994,90
1126,1:41:998,136
1127,1:42:1,368
1128,1:42:5,128
1129,1:42:8,103
1130,1:42:11,133
1131,1:42:16,122
1132,1:42:19,113
1133,1:42:23,135
1134,1:42:26,356
1135,1:42:30,137
1136,1:42:33,93
1137,1:42:37,109
1138,1:42:40,105
1139,1:42:44,101
1140,1:42:47,125
1141,1:42:51,347
1142,1:42:54,123
1143,1:42:59,87
1144,1:42:62,117
1145,1:42:66,108
1146,1:42:69,91
1147,1:42:73,118
1148,1:42:76,341
1149,1:42:80,123
1150,1:42:83,86
1151,1:42:87,109
1152,1:42:90,104
1153,1:42:94,92
1154,1:42:97,122
1155,1:47:702,366
1156,1:47:704,107
1157,1:47:706,100
1158,1:47:709,76
1159,1:47:713,108
1160,1:47:716,110
1161,1:47:720,75
1162,1:47:724,350
1163,1:47:727,106
1164,1:47:731,75
1165,1:47:735,100
1166,1:47:739,95
1167,1:47:742,68
1168,1:47:746,92
1169,1:47:750,363
1170,1:47:753,60
1171,1:47:757,96
1172,1:47:760,77
1173,1:47:764,53
1174,1:47:767,81
1175,1:47:771,148
1176,1:47:776,327
1177,1:47:779,181
1178,1:47:783,81
1179,1:47:786,212
1180,1:47:790,136
1181,1:47:793,145
1182,1:47:797,195
1183,1:47:800,500
1184,1:47:804,18
1185,1:47:808,206
1186,1:47:811,219
1187,1:47:815,165
1188,1:47:819,164
1189,1:47:823,153
1190,1:47:826,362
1191,1:47:830,116
1192,1:47:834,119
1193,1:47:837,80
1194,1:47:841,111
1195,1:47:844,109
1196,1:47:848,78
1197,1:47:851,357
1198,1:47:855,99
1199,1:47:859,70
1200,1:47:863,93
1201,1:47:867,93
1202,1:47:870,69
1203,1:47:874,81
1204,1:47:877,346
1205,1:47:881,68
1206,1:47:885,105
1207,1:47:888,88
1208,1:47:892,72
1209,1:47:895,103
1210,1:47:899,87
1211,1:47:902,323
1212,1:47:907,106
1213,1:47:911,82
1214,1:47:914,76
1215,1:47:918,104
1216,1:47:921,73
1217,1:47:925,98
1218,1:47:928,371
1219,1:47:932,76
1220,1:47:936,91
1221,1:47:939,109
1222,1:47:943,96
1223,1:47:947,117
1224,1:47:951,112
1225,1:47:954,343
1226,1:47:958,105
1227,1:47:962,114
1228,1:47:965,83
1229,1:47:969,110
1230,1:47:972,116
1231,1:47:976,91
1232,1:53:580,387
1233,1:53:582,130
1234,1:53:584,129
1235,1:53:587,83
1236,1:53:591,110
1237,1:53:594,104
1238,1:53:598,86
1239,1:53:601,380
1240,1:53:605,97
1241,1:53:609,216
1242,1:53:612,117
1243,1:53:616,168
1244,1:53:619,88
1245,1:53:624,183
1246,1:53:627,312
1247,1:53:631,92
1248,1:53:635,87
1249,1:53:638,47
1250,1:53:642,180
1251,1:53:645,83
1252,1:53:649,51
1253,1:53:652,332
1254,1:53:656,91
1255,1:53:660,63
1256,1:53:664,92
1257,1:53:668,101
1258,1:53:671,80
1259,1:53:675,95
1260,1:53:678,354
1261,1:53:682,68
1262,1:53:686,94
1263,1:53:689,88
1264,1:53:693,71
1265,1:53:696,104
1266,1:53:700,122
1267,1:53:703,383
1268,1:53:708,171
1269,1:53:712,209
1270,1:53:715,218
1271,1:53:719,8
1272,1:53:722,242
1273,1:53:726,213
1274,1:53:729,492
1275,1:53:733,184
1276,1:53:737,145
1277,1:53:740,159
1278,1:53:744,107
1279,1:53:747,101
1280,1:53:752,124
1281,1:53:755,337
1282,1:53:759,108
1283,1:53:763,113
1284,1:53:766,78
1285,1:53:770,101
1286,1:53:773,102
1287,1:53:777,70
1288,1:53:780,345
